Price,Year,Mileage,City,State,Make,Model
14630,2013,62057,Springfield,PA,Acura,ILX5-Speed
14642,2013,46133,Plantation,FL,Acura,ILX5-Speed
14700,2014,75011,Greensboro,NC,Acura,ILX5-Speed
14782,2013,69820,Norco,CA,Acura,ILX5-Speed
14795,2013,29198,Midway City,CA,Acura,ILX5-Speed
14857,2015,60552,Ocala,FL,Acura,ILX5-Speed
14858,2015,73548,Jacksonville,Fl,Acura,ILX5-Speed
14895,2015,29755,Greatneck,NY,Acura,ILX5-Speed
14895,2015,46243,Wappingers Falls,NY,Acura,ILX5-Speed
14900,2013,29100,Plano,TX,Acura,ILX5-Speed
14900,2014,73851,South Jordan,UT,Acura,ILX5-Speed
14976,2013,45776,Shreveport,LA,Acura,ILX5-Speed
14988,2013,39361,Creve Coeur,MO,Acura,ILX5-Speed
14989,2015,37882,Pelham,AL,Acura,ILX5-Speed
14990,2014,48041,Kennesaw,GA,Acura,ILX5-Speed
14990,2015,23603,Freeport,NY,Acura,ILX5-Speed
14991,2014,37469,Avenel,NJ,Acura,ILX5-Speed
14994,2014,22266,Seffner,FL,Acura,ILX5-Speed
14994,2014,34599,Wappingers Falls,NY,Acura,ILX5-Speed
14994,2014,55293,Fort Pierce,FL,Acura,ILX5-Speed
14995,2013,20261,Wall,NJ,Acura,ILX5-Speed
14995,2013,31508,Hackettstown,NJ,Acura,ILX5-Speed
14995,2013,36190,Temple Hills,MD,Acura,ILX5-Speed
14995,2013,42678,Memphis,TN,Acura,ILX5-Speed
14995,2013,45907,Manassas,VA,Acura,ILX5-Speed
14995,2014,23454,Hackettstown,NJ,Acura,ILX5-Speed
14995,2015,35039,Doral,FL,Acura,ILX5-Speed
14995,2015,43614,Chantilly,VA,Acura,ILX5-Speed
14995,2015,81859,Brentwood,TN,Acura,ILX5-Speed
14998,2013,30633,Marlborough,MA,Acura,ILX5-Speed
14998,2013,47367,Wichita,KS,Acura,ILX5-Speed
14999,2013,46067,Chicago,IL,Acura,ILX5-Speed
14999,2014,17669,Miami,FL,Acura,ILX5-Speed
14999,2014,32047,Orlando,FL,Acura,ILX5-Speed
14999,2015,27333,Orlando,FL,Acura,ILX5-Speed
14999,2015,28326,Miami,FL,Acura,ILX5-Speed
14999,2015,29169,West Covina,CA,Acura,ILX5-Speed
14999,2015,42989,Duluth,GA,Acura,ILX5-Speed
14999,2015,49670,North Miami,FL,Acura,ILX5-Speed
15000,2014,42689,Eatontown,NJ,Acura,ILX5-Speed
15230,2014,36248,Buford,GA,Acura,ILX5-Speed
15249,2013,42038,West Park,FL,Acura,ILX5-Speed
15290,2013,43185,Chicago,IL,Acura,ILX5-Speed
15298,2014,50321,Tracy,CA,Acura,ILX5-Speed
15379,2015,26984,West Palm Beach,FL,Acura,ILX5-Speed
15383,2015,45616,Bay Shore,NY,Acura,ILX5-Speed
15394,2014,45059,Wappingers Falls,NY,Acura,ILX5-Speed
15400,2015,59647,Westmont,IL,Acura,ILX5-Speed
15440,2014,31166,Newnan,GA,Acura,ILX5-Speed
15450,2015,61620,Plano,TX,Acura,ILX5-Speed
15459,2014,51160,Groton,CT,Acura,ILX5-Speed
15487,2014,47178,Ontario,OR,Acura,ILX5-Speed
15493,2013,35401,Minneapolis,MN,Acura,ILX5-Speed
15495,2013,47635,Bloomington,CA,Acura,ILX5-Speed
15495,2014,46718,Hopkins,MN,Acura,ILX5-Speed
15495,2014,34631,Bountiful,UT,Acura,ILX5-Speed
15495,2014,57642,Midway City,CA,Acura,ILX5-Speed
15495,2015,50825,Bay Shore,NY,Acura,ILX5-Speed
15499,2015,23599,Santa Ana,CA,Acura,ILX5-Speed
15499,2015,36830,Montclair,CA,Acura,ILX5-Speed
15500,2014,43359,Slidell,LA,Acura,ILX5-Speed
15500,2014,41177,East Hanover,NJ,Acura,ILX5-Speed
15500,2015,55507,Union City,GA,Acura,ILX5-Speed
15533,2013,42232,Schaumburg,IL,Acura,ILX5-Speed
15568,2014,56177,Springfield,NJ,Acura,ILX5-Speed
15599,2015,43113,Longwood,FL,Acura,ILX5-Speed
15659,2015,64176,Avenel,NJ,Acura,ILX5-Speed
15668,2013,52165,Westborough,MA,Acura,ILX5-Speed
15700,2013,46498,El Cajon,CA,Acura,ILX5-Speed
15730,2015,43906,Buford,GA,Acura,ILX5-Speed
15737,2014,60648,Fremont,CA,Acura,ILX5-Speed
15755,2013,44541,Puyallup,WA,Acura,ILX5-Speed
15770,2013,59401,New Bern,NC,Acura,ILX5-Speed
15777,2015,40637,Pontiac,MI,Acura,ILX5-Speed
15790,2013,48038,Virginia Beach,VA,Acura,ILX5-Speed
15790,2014,44786,Bountiful,UT,Acura,ILX5-Speed
15795,2015,54328,Burbank,IL,Acura,ILX5-Speed
15799,2015,33888,North Miami,FL,Acura,ILX5-Speed
15799,2015,43859,Hialeah,FL,Acura,ILX5-Speed
15821,2013,61105,Colorado Springs,CO,Acura,ILX5-Speed
15844,2015,65266,Chantilly,VA,Acura,ILX5-Speed
15889,2014,22832,Roswell,GA,Acura,ILX5-Speed
15890,2015,38772,South Easton,MA,Acura,ILX5-Speed
15895,2013,41864,Montgomeryville,PA,Acura,ILX5-Speed
15895,2015,24511,Doral,FL,Acura,ILX5-Speed
15900,2014,36246,Chestrland,OH,Acura,ILX5-Speed
15900,2015,39477,Baltimore,MD,Acura,ILX5-Speed
15950,2015,39562,Richardson,TX,Acura,ILX5-Speed
15955,2015,38897,Leominster,MA,Acura,ILX5-Speed
15965,2015,30091,Wappingers Falls,NY,Acura,ILX5-Speed
15969,2015,56112,Henderson,NV,Acura,ILX5-Speed
15970,2014,28854,Stone Mountain,GA,Acura,ILX5-Speed
15975,2015,52966,Marietta,GA,Acura,ILX5-Speed
15976,2014,27263,Portland,OR,Acura,ILX5-Speed
15981,2015,42890,West Bend,WI,Acura,ILX5-Speed
15985,2015,39981,Des Plaines,IL,Acura,ILX5-Speed
15988,2014,68338,Fremont,CA,Acura,ILX5-Speed
15989,2014,54854,Modesto,CA,Acura,ILX5-Speed
15989,2014,75435,Tacoma,WA,Acura,ILX5-Speed
15990,2013,55935,Rockville,MD,Acura,ILX5-Speed
15990,2014,24252,Chantilly,VA,Acura,ILX5-Speed
15990,2015,29384,Greatneck,NY,Acura,ILX5-Speed
15990,2015,64290,Baltimore,MD,Acura,ILX5-Speed
15991,2013,43904,Laurel,MD,Acura,ILX5-Speed
15994,2014,18821,Wappingers Falls,NY,Acura,ILX5-Speed
15994,2014,35452,Wappingers Falls,NY,Acura,ILX5-Speed
15994,2015,54814,Raleigh,NC,Acura,ILX5-Speed
15995,2013,41805,Sioux Falls,SD,Acura,ILX5-Speed
15995,2014,27883,Chantilly,VA,Acura,ILX5-Speed
15995,2014,54107,Woodside,NY,Acura,ILX5-Speed
15995,2015,30347,Bethlehem,PA,Acura,ILX5-Speed
15996,2015,51871,Egg Harbor,NJ,Acura,ILX5-Speed
15996,2015,45359,North Miami,FL,Acura,ILX5-Speed
15997,2013,44860,North Miami,FL,Acura,ILX5-Speed
15997,2015,43879,Richmond,VA,Acura,ILX5-Speed
15998,2014,51360,Wichita,KS,Acura,ILX5-Speed
15998,2014,55748,Tracy,CA,Acura,ILX5-Speed
15998,2015,37726,Sarasota,FL,Acura,ILX5-Speed
15999,2013,64719,Concord,CA,Acura,ILX5-Speed
15999,2014,15181,Marrieta,GA,Acura,ILX5-Speed
15999,2014,27550,East Haven,CT,Acura,ILX5-Speed
15999,2014,42335,Marrieta,GA,Acura,ILX5-Speed
15999,2015,31776,West Palm Beach,FL,Acura,ILX5-Speed
15999,2015,34717,West Palm Beach,FL,Acura,ILX5-Speed
15999,2015,32769,North Miami,FL,Acura,ILX5-Speed
15999,2015,25158,Miami Gardens,FL,Acura,ILX5-Speed
16000,2013,52646,Salt Lake City,UT,Acura,ILX5-Speed
16000,2014,27857,Linden,NJ,Acura,ILX5-Speed
16000,2014,32139,Linden,NJ,Acura,ILX5-Speed
16000,2015,30881,Pasadena,CA,Acura,ILX5-Speed
16000,2015,41310,Clearwater,FL,Acura,ILX5-Speed
16124,2014,35348,Roswell,GA,Acura,ILX5-Speed
16165,2015,40850,Charlotte,NC,Acura,ILX5-Speed
16198,2013,42122,Prattville,AL,Acura,ILX5-Speed
16224,2015,36007,Delray Beach,FL,Acura,ILX5-Speed
16239,2015,24184,Roswell,GA,Acura,ILX5-Speed
16240,2015,31624,Newnan,GA,Acura,ILX5-Speed
16250,2015,34510,Union City,GA,Acura,ILX5-Speed
16275,2015,38701,Union City,GA,Acura,ILX5-Speed
16290,2013,38217,Rockville,MD,Acura,ILX5-Speed
16293,2014,53507,Tracy,CA,Acura,ILX5-Speed
16295,2015,49988,Hackettstown,NJ,Acura,ILX5-Speed
16385,2015,30014,Wappingers Falls,NY,Acura,ILX5-Speed
16390,2015,41085,Temple Hills,MD,Acura,ILX5-Speed
16440,2013,28572,Scranton,PA,Acura,ILX5-Speed
16440,2015,41054,Newnan,GA,Acura,ILX5-Speed
16445,2015,38819,Chantilly,VA,Acura,ILX5-Speed
16450,2015,41568,Plainville,CT,Acura,ILX5-Speed
16460,2015,30222,Framingham,MA,Acura,ILX5-Speed
16485,2015,36584,Springfield,VA,Acura,ILX5-Speed
16488,2013,54629,Matthews,NC,Acura,ILX5-Speed
16488,2015,23277,Chantilly,VA,Acura,ILX5-Speed
16490,2015,24825,South Easton,MA,Acura,ILX5-Speed
16493,2015,37455,Fort Pierce,FL,Acura,ILX5-Speed
16494,2014,48567,Wappingers Falls,NY,Acura,ILX5-Speed
16494,2014,48667,Wappingers Falls,NY,Acura,ILX5-Speed
16495,2014,56228,Clinton,NJ,Acura,ILX5-Speed
16495,2015,57624,Wappingers Falls,NY,Acura,ILX5-Speed
16499,2014,35217,Chicago,IL,Acura,ILX5-Speed
16499,2015,18583,Montclair,CA,Acura,ILX5-Speed
16499,2015,50388,Cambridge,MA,Acura,ILX5-Speed
16500,2014,35723,Doral,FL,Acura,ILX5-Speed
16500,2014,54893,Naperville,IL,Acura,ILX5-Speed
16500,2015,29651,Pasadena,CA,Acura,ILX5-Speed
16500,2015,27896,Canton,MA,Acura,ILX5-Speed
16511,2014,39949,Bethlehem,PA,Acura,ILX5-Speed
16517,2015,48918,Berwyn,IL,Acura,ILX5-Speed
16591,2013,43732,Arlington,TX,Acura,ILX5-Speed
16591,2015,47899,Valencia,CA,Acura,ILX5-Speed
16598,2013,48267,Henderson,NV,Acura,ILX5-Speed
16598,2014,35918,Groton,CT,Acura,ILX5-Speed
16651,2015,32203,Bethesda,MD,Acura,ILX5-Speed
16660,2013,52744,Wilsonville,OR,Acura,ILX5-Speed
16664,2014,39779,Bensenville,IL,Acura,ILX5-Speed
16685,2015,52874,Wappingers Falls,NY,Acura,ILX5-Speed
16689,2015,49140,Louisville,KY,Acura,ILX5-Speed
16695,2015,44696,Baltimore,MD,Acura,ILX5-Speed
16697,2015,37200,Duluth,GA,Acura,ILX5-Speed
16700,2015,39578,Linden,NJ,Acura,ILX5-Speed
16728,2014,59880,Rio Linda,CA,Acura,ILX5-Speed
16738,2014,44714,Duluth,GA,Acura,ILX5-Speed
16740,2015,22833,Newnan,GA,Acura,ILX5-Speed
16750,2015,22205,Union City,GA,Acura,ILX5-Speed
16750,2015,57483,Citrus Heights,CA,Acura,ILX5-Speed
16777,2014,44606,Mcminnville,OR,Acura,ILX5-Speed
16794,2015,39537,Palo Alto,CA,Acura,ILX5-Speed
16810,2015,42720,Roswell,GA,Acura,ILX5-Speed
16850,2015,33770,Indian Trail,NC,Acura,ILX5-Speed
16863,2014,29232,Middletown,CT,Acura,ILX5-Speed
16887,2013,12083,Dallas,TX,Acura,ILX5-Speed
16900,2015,41328,Oklahoma City,OK,Acura,ILX5-Speed
16950,2014,46186,St. Louis,MO,Acura,ILX5-Speed
16965,2015,23404,Framingham,MA,Acura,ILX5-Speed
16969,2013,43422,Hoffman Estates,IL,Acura,ILX5-Speed
16969,2014,33203,Hoffman Estates,IL,Acura,ILX5-Speed
16969,2014,37781,Hoffman Estates,IL,Acura,ILX5-Speed
16975,2015,31786,Chicago,IL,Acura,ILX5-Speed
16977,2013,26712,Ashland,OR,Acura,ILX5-Speed
16979,2015,39511,Salisbury,NC,Acura,ILX5-Speed
16980,2015,34735,Fairfax,VA,Acura,ILX5-Speed
16985,2015,16951,Roslyn,PA,Acura,ILX5-Speed
16986,2015,51878,Tracy,CA,Acura,ILX5-Speed
16987,2014,30075,Corona,CA,Acura,ILX5-Speed
16987,2014,31633,Phoenix,AZ,Acura,ILX5-Speed
16987,2014,25812,Raleigh,NC,Acura,ILX5-Speed
16987,2014,45435,Tracy,CA,Acura,ILX5-Speed
16988,2013,55321,Jacksonville,FL,Acura,ILX5-Speed
16988,2014,30698,City of Industry,CA,Acura,ILX5-Speed
16990,2013,32718,Rockville,MD,Acura,ILX5-Speed
16990,2014,16848,Clearwater,FL,Acura,ILX5-Speed
16990,2015,30176,Jacksonville,FL,Acura,ILX5-Speed
16990,2015,37166,Chicago,IL,Acura,ILX5-Speed
16991,2015,69336,Tracy,CA,Acura,ILX5-Speed
16992,2014,25154,Kennesaw,GA,Acura,ILX5-Speed
16993,2014,36753,Orlando,FL,Acura,ILX5-Speed
16994,2014,31299,Pelham,AL,Acura,ILX5-Speed
16994,2015,23946,St. Augustine,FL,Acura,ILX5-Speed
16994,2015,33871,Palo Alto,CA,Acura,ILX5-Speed
16995,2013,34673,Tinley Park,IL,Acura,ILX5-Speed
16995,2014,23223,Midlothian,VA,Acura,ILX5-Speed
16995,2014,35930,Rio Linda,CA,Acura,ILX5-Speed
16995,2015,25464,Waterbury,CT,Acura,ILX5-Speed
16995,2015,40981,Egg Harbor,NJ,Acura,ILX5-Speed
16995,2015,39534,Wappingers Falls,NY,Acura,ILX5-Speed
16995,2015,40522,Latham,NY,Acura,ILX5-Speed
16995,2015,31942,Bronx,NY,Acura,ILX5-Speed
16995,2015,41050,Hackettstown,NJ,Acura,ILX5-Speed
16995,2015,41018,Philadelphia,PA,Acura,ILX5-Speed
16995,2015,43675,Philadelphia,PA,Acura,ILX5-Speed
16995,2015,49643,Philadelphia,PA,Acura,ILX5-Speed
16995,2015,51434,Burbank,IL,Acura,ILX5-Speed
16997,2014,45726,MADISON,WI,Acura,ILX5-Speed
16997,2015,28905,West Bend,WI,Acura,ILX5-Speed
16998,2014,19520,VIRGINIA BEACH,VA,Acura,ILX5-Speed
16998,2014,33627,Arlington,TX,Acura,ILX5-Speed
16998,2014,47526,Kenner,LA,Acura,ILX5-Speed
16998,2015,35736,San Juan,TX,Acura,ILX5-Speed
16999,2013,29729,Savannah,GA,Acura,ILX5-Speed
16999,2014,59233,Tempe,AZ,Acura,ILX5-Speed
16999,2014,57303,Tucson,AZ,Acura,ILX5-Speed
16999,2015,30940,North Charleston,SC,Acura,ILX5-Speed
16999,2015,18281,Miami Gardens,FL,Acura,ILX5-Speed
16999,2015,18386,West Covina,CA,Acura,ILX5-Speed
16999,2015,28489,Hartford,CT,Acura,ILX5-Speed
16999,2015,27427,North Miami,FL,Acura,ILX5-Speed
16999,2015,42208,Concord,CA,Acura,ILX5-Speed
16999,2015,38294,Montclair,CA,Acura,ILX5-Speed
17000,2013,46804,Tulsa,OK,Acura,ILX5-Speed
17000,2014,23453,Modesto,CA,Acura,ILX5-Speed
17000,2015,24671,Tucson,AZ,Acura,ILX5-Speed
17000,2015,23351,Marietta,GA,Acura,ILX5-Speed
17000,2015,50755,Pasadena,CA,Acura,ILX5-Speed
17000,2015,35649,Louisville,KY,Acura,ILX5-Speed
17000,2015,37752,Louisville,KY,Acura,ILX5-Speed
17000,2015,40436,Marietta,GA,Acura,ILX5-Speed
17000,2015,42091,Louisville,KY,Acura,ILX5-Speed
17097,2014,39480,Fairfield,OH,Acura,ILX5-Speed
17140,2015,41354,Lone Tree,CO,Acura,ILX5-Speed
17179,2015,26806,Middletown,NY,Acura,ILX5-Speed
17187,2014,26684,Tulsa,OK,Acura,ILX5-Speed
17230,2015,37449,Buford,GA,Acura,ILX5-Speed
17250,2015,34902,Louisville,KY,Acura,ILX5-Speed
17250,2015,39305,Baltimore,MD,Acura,ILX5-Speed
17250,2015,40373,Louisville,KY,Acura,ILX5-Speed
17263,2014,32991,Dallas,TX,Acura,ILX5-Speed
17288,2014,35613,Arlington,TX,Acura,ILX5-Speed
17290,2015,40717,Temple Hills,MD,Acura,ILX5-Speed
17300,2015,37138,Slidell,LA,Acura,ILX5-Speed
17321,2015,29563,Stamford,CT,Acura,ILX5-Speed
17350,2015,40840,Rosedale,MD,Acura,ILX5-Speed
17352,2014,31144,Arlington,TX,Acura,ILX5-Speed
17398,2014,20922,Sanford,FL,Acura,ILX5-Speed
17400,2013,40765,Renton,WA,Acura,ILX5-Speed
17400,2015,31060,Ephrata,PA,Acura,ILX5-Speed
17419,2015,15390,Indianapolis,IN,Acura,ILX5-Speed
17445,2014,37649,Cleveland Heights,OH,Acura,ILX5-Speed
17445,2015,30597,Jenkintown,PA,Acura,ILX5-Speed
17461,2015,29719,Bethesda,MD,Acura,ILX5-Speed
17477,2015,39218,Manassas,VA,Acura,ILX5-Speed
17480,2014,44677,Bellflower,CA,Acura,ILX5-Speed
17490,2015,35641,Temple Hills,MD,Acura,ILX5-Speed
17492,2015,39148,Arlington,TX,Acura,ILX5-Speed
17494,2015,42131,Arlington,TX,Acura,ILX5-Speed
17496,2015,21077,North Miami,FL,Acura,ILX5-Speed
17497,2015,21098,Roseville,CA,Acura,ILX5-Speed
17497,2015,22523,Antioch,TN,Acura,ILX5-Speed
17497,2015,35635,Round Rock,TX,Acura,ILX5-Speed
17497,2015,31110,East Haven,CT,Acura,ILX5-Speed
17498,2014,45208,Duluth,GA,Acura,ILX5-Speed
17498,2014,46450,Springfield,NJ,Acura,ILX5-Speed
17498,2015,35169,Groton,CT,Acura,ILX5-Speed
17499,2014,10187,Miami Gardens,FL,Acura,ILX5-Speed
17499,2015,21958,Tempe,AZ,Acura,ILX5-Speed
17499,2015,29973,Montebello,CA,Acura,ILX5-Speed
17499,2015,33271,Stanton,CA,Acura,ILX5-Speed
17500,2013,35516,Milford,CT,Acura,ILX5-Speed
17500,2014,45983,Temecula,CA,Acura,ILX5-Speed
17500,2015,35388,Pasadena,CA,Acura,ILX5-Speed
17500,2015,36843,Pasadena,CA,Acura,ILX5-Speed
17500,2015,39201,Pasadena,CA,Acura,ILX5-Speed
17500,2015,35046,Verona,NJ,Acura,ILX5-Speed
17500,2015,39221,Union City,GA,Acura,ILX5-Speed
17554,2015,38308,Kirkland,WA,Acura,ILX5-Speed
17590,2013,64734,Centennial,CO,Acura,ILX5-Speed
17590,2015,26956,Hyattsville,MD,Acura,ILX5-Speed
17591,2015,31968,Tacoma,WA,Acura,ILX5-Speed
17591,2015,32397,Dallas,TX,Acura,ILX5-Speed
17593,2015,25840,Tempe,AZ,Acura,ILX5-Speed
17597,2014,34373,Langhorne,PA,Acura,ILX5-Speed
17599,2015,32876,Raleigh,NC,Acura,ILX5-Speed
17628,2015,13797,Fargo,ND,Acura,ILX5-Speed
17631,2015,25267,Bethesda,MD,Acura,ILX5-Speed
17639,2014,46163,Avenel,NJ,Acura,ILX5-Speed
17650,2015,23171,Laurel,MD,Acura,ILX5-Speed
17655,2015,13443,Des Plaines,IL,Acura,ILX5-Speed
17690,2014,25914,Golden Valley,MN,Acura,ILX5-Speed
17693,2015,28475,Rockwall,TX,Acura,ILX5-Speed
17695,2015,29279,Bedford,OH,Acura,ILX5-Speed
17697,2015,42046,Torrance,CA,Acura,ILX5-Speed
17750,2014,22625,Louisville,KY,Acura,ILX5-Speed
17750,2015,39958,Citrus Heights,CA,Acura,ILX5-Speed
17750,2015,76298,Louisville,KY,Acura,ILX5-Speed
17750,2015,36800,Sterling,VA,Acura,ILX5-Speed
17775,2015,28888,Temple Hills,MD,Acura,ILX5-Speed
17791,2013,27810,Tempe,AZ,Acura,ILX5-Speed
17796,2014,30553,Vallejo,CA,Acura,ILX5-Speed
17851,2015,31757,Ardmore,OK,Acura,ILX5-Speed
17877,2015,29996,Bentonville,AR,Acura,ILX5-Speed
17877,2015,29474,Radcliff,KY,Acura,ILX5-Speed
17878,2015,34279,Costa Mesa,CA,Acura,ILX5-Speed
17885,2015,21250,Des Plaines,IL,Acura,ILX5-Speed
17889,2014,34473,Kenner,LA,Acura,ILX5-Speed
17889,2015,48563,Modesto,CA,Acura,ILX5-Speed
17890,2015,24007,Temple Hills,MD,Acura,ILX5-Speed
17892,2015,40137,Duluth,GA,Acura,ILX5-Speed
17895,2015,36071,Rockwall,TX,Acura,ILX5-Speed
17895,2015,24882,Tenafly,NJ,Acura,ILX5-Speed
17900,2015,32100,Watertown,CT,Acura,ILX5-Speed
17922,2015,35584,East Stroudsburg,PA,Acura,ILX5-Speed
17927,2014,44127,Overland Park,KS,Acura,ILX5-Speed
17930,2015,35748,Buford,GA,Acura,ILX5-Speed
17939,2015,25600,Hoffman Estates,IL,Acura,ILX5-Speed
17966,2015,19420,Lebanon,OR,Acura,ILX5-Speed
17969,2015,17419,Hoffman Estates,IL,Acura,ILX5-Speed
17969,2015,29028,Hoffman Estates,IL,Acura,ILX5-Speed
17977,2015,26456,Akron,OH,Acura,ILX5-Speed
17988,2015,21495,Raleigh,NC,Acura,ILX5-Speed
17988,2015,33663,Fort Worth,TX,Acura,ILX5-Speed
